decl,ra_bulge,dec_bulge,g,redshift,ext_model_bulge,pa_bulge,fluxnorm_bulge,sedname_bulge,b_bulge,i,r,u,ra,a_bulge,y,z,rv_bulge,id,magnorm_bulge,av_bulge
-4.5,7.5,-4.5,18.675474007,0.108,CCM,-12.8837,2.06753555893e-15,Exp.50E09.1Z.spec,1.15662076364,17.5622673,17.9000396507,20.0265878421,7.5,1.79960816304,17.1806955826,17.3141081986,3.1,70722,18.308634889,0.0
-4.35,7.5,-4.35,16.981405819,0.112,CCM,-162.0791,9.9415717134e-15,Exp.50E09.1Z.spec,2.84134415171,15.8601427,16.1982367062,18.3299545116,7.5,3.46680627184,15.4761816645,15.6102545413,3.1,81366,16.6036297338,0.0
-4.2,7.5,-4.2,18.3684112063,0.114,CCM,44.12341,2.78553759954e-15,Exp.50E09.1Z.spec,1.35656133282,17.242815,17.5812203742,19.7155958135,7.5,2.09211543763,16.8578376798,16.9923373,3.1,83414,17.9849947954,0.0
-4.05,7.5,-4.05,18.5496412363,0.118,CCM,-168.732,2.38226133805e-15,Exp.50E09.1Z.spec,1.33407869109,17.4150009,17.7543891644,19.8939764563,7.5,1.84597440957,17.0276705373,17.1638919768,3.1,92447,18.1547938515,0.0
-3.9,7.5,-3.9,19.1597406793,0.124,CCM,-39.72445,1.38074107407e-15,Exp.50E09.1Z.spec,1.10667886426,18.0098362,18.3520642465,20.4991976988,7.5,1.32637195197,17.6201749351,17.7591400374,3.1,105293,18.746986747,0.0
-3.75,7.5,-3.75,18.4470197793,0.124,CCM,-124.8703,2.66195435555e-15,Exp.50E09.1Z.spec,1.42197349838,17.2971153,17.6393433465,19.7864767988,7.5,1.96756977548,16.9074540351,17.0464191374,3.1,107416,18.034265847,0.0
-3.6,7.5,-3.6,18.5074197793,0.124,CCM,88.15498,2.517912329e-15,Exp.50E09.1Z.spec,1.07633420008,17.3575153,17.6997433465,19.8468767988,7.5,2.46112965549,16.9678540351,17.1068191374,3.1,107563,18.094665847,0.0
-3.45,7.5,-3.45,17.2994215793,0.124,CCM,-65.27211,7.66019604202e-15,Exp.50E09.1Z.spec,2.55547173696,16.1495171,16.4917451465,18.6388785988,7.5,3.09324732218,15.7598558351,15.8988209374,3.1,109746,16.886667647,0.0
-3.3,7.5,-3.3,19.2273497848,0.126,CCM,113.516,1.30453432754e-15,Exp.50E09.1Z.spec,0.977163477044,18.0720596,18.4156554516,20.5654151687,7.5,1.42983784085,17.682174661,17.821991188,3.1,110757,18.8086285789,0.0
-3.15,7.5,-3.15,17.8387849923,0.128,CCM,55.19733,4.71287949007e-15,Exp.50E09.1Z.spec,2.04429827723,16.678072,17.0230398705,19.1755496181,7.5,2.43017797533,16.2881988776,16.4286269755,3.1,120127,17.4140515208,0.0
-3.0,7.5,-3.0,17.8206651923,0.128,CCM,-0.7436478,4.79219249689e-15,Exp.50E09.1Z.spec,1.85533651234,16.6599522,17.0049200705,19.1574298181,7.5,2.72196098272,16.2700790776,16.4105071755,3.1,120154,17.3959317208,0.0
-2.85,7.5,-2.85,17.2529046923,0.128,CCM,-49.32367,8.08422616448e-15,Exp.50E09.1Z.spec,2.79049785075,16.0921917,16.4371595705,18.5896693181,7.5,3.02538794193,15.7023185776,15.8427466755,3.1,120777,16.8281712208,0.0
-2.7,7.5,-2.7,18.267746825,0.13,CCM,174.2249,3.19212476706e-15,Exp.50E09.1Z.spec,1.6275739736,17.1015949,17.44805505,19.6032851569,7.5,2.095056501,16.7116425515,16.8528234393,3.1,124312,17.8370677134,0.0
