decl:ra_bulge:av_bulge:point:a_bulge:b_bulge:magnorm_bulge:rad_vel:redshift:sedname_bulge:id:ra:ext_model_bulge:dec_bulge:g:i:pa_bulge:r:u:y:z:rv_bulge:fluxnorm_bulge
-7.5:7.5:0.0:(7.500000d,-7.500000d):5.22502207885:4.18851145897:15.5015187476:0.0:0.042:Exp.50E09.1Z.spec:4376:7.5:CCM:-7.5:15.7073660035:14.7127419:24.35965:15.0346578408:17.063603767:14.3483631049:14.5051238254:3.1:2.74346512714e-14
-7.35:7.5:0.0:(7.500000d,-7.350000d):2.27427262663:2.18677189771:17.2226604693:0.0:0.068:Exp.50E09.1Z.spec:18060:7.5:CCM:-7.35:17.4880127181:16.4461555:80.36317:16.7788450185:18.8494322966:16.0836910634:16.2287415582:3.1:5.621377557e-15
-7.2:7.5:0.0:(7.500000d,-7.200000d):3.26544920539:2.33023108387:16.7653523448:0.0:0.072:Exp.50E09.1Z.spec:21703:7.5:CCM:-7.2:17.0399739813:15.9914694:131.0021:16.3253677206:18.4022609684:15.6278903341:15.7713155009:3.1:8.56576203749e-15
-7.05:7.5:0.0:(7.500000d,-7.050000d):3.16168782587:2.34085485888:16.8082442741:0.0:0.076:Exp.50E09.1Z.spec:25550:7.5:CCM:-7.05:17.0920935215:16.0374012:-175.0828:16.3721920771:18.4553558689:15.6722070222:15.8138110361:3.1:8.23396911277e-15
-6.9:7.5:0.0:(7.500000d,-6.900000d):2.88104328827:2.25731038105:16.9568637379:0.0:0.078:Exp.50E09.1Z.spec:27496:7.5:CCM:-6.9:17.2453504082:16.1879196:150.4454:16.5227960396:18.608891814:15.8217052378:15.9623196545:3.1:7.18061179344e-15
-6.75:7.5:0.0:(7.500000d,-6.750000d):4.72546065839:2.75547943108:16.1897872379:0.0:0.078:Exp.50E09.1Z.spec:28213:7.5:CCM:-6.75:16.4782739082:15.4208431:-137.5202:15.7557195396:17.841815314:15.0546287378:15.1952431545:3.1:1.45543243124e-14
-6.6:7.5:0.0:(7.500000d,-6.600000d):2.85892308896:2.28211391384:16.9592689998:0.0:0.08:Exp.50E09.1Z.spec:29765:7.5:CCM:-6.6:17.2525490812:16.1920338:-32.41225:16.527039554:18.6163420356:15.8255537799:15.9645935708:3.1:7.16472198906e-15
-6.45:7.5:0.0:(7.500000d,-6.450000d):3.85860603881:2.88616631868:16.374649085:0.0:0.082:Exp.50E09.1Z.spec:32444:7.5:CCM:-6.45:16.6727329994:15.6089096:-16.27741:15.944327236:18.0367741005:15.2420363251:15.3798102318:3.1:1.22757294759e-14
-6.3:7.5:0.0:(7.500000d,-6.300000d):3.064709717:2.08108347156:16.9966852987:0.0:0.084:Exp.50E09.1Z.spec:34331:7.5:CCM:-6.3:17.2998563564:16.2324791:154.4568:16.5681440496:18.6637481071:15.8654055871:16.0017567111:3.1:6.92201958406e-15
-6.15:7.5:0.0:(7.500000d,-6.150000d):3.43745121012:2.40026802525:16.7367395749:0.0:0.092:Exp.50E09.1Z.spec:45603:7.5:CCM:-6.15:17.0605746033:15.9787865:-117.4557:16.3152282085:18.4217851701:15.6064121411:15.740739577:3.1:8.79449918927e-15
-6.0:7.5:0.0:(7.500000d,-6.000000d):3.330212187:1.97983145947:16.9907124273:0.0:0.094:Exp.50E09.1Z.spec:48085:7.5:CCM:-6.0:17.3198140936:16.234293:-4.930555:16.5709026683:18.6796927045:15.8604946215:15.9945566691:3.1:6.96020405613e-15
-5.85:7.5:0.0:(7.500000d,-5.850000d):3.15632673756:2.4611533488:16.8095143273:0.0:0.094:Exp.50E09.1Z.spec:48657:7.5:CCM:-5.85:17.1386159936:16.0530949:-87.42812:16.3897045683:18.4984946045:15.6792965215:15.8133585691:3.1:8.22434295773e-15
-5.7:7.5:0.0:(7.500000d,-5.700000d):5.39827268408:2.43390840852:16.2349085691:0.0:0.096:Exp.50E09.1Z.spec:52210:7.5:CCM:-5.7:16.5692290485:15.4801207:89.9794:15.8167740804:17.9275832071:15.1050806539:15.2387111221:3.1:1.39618676075e-14
