SourceID Photons AvgX AvgY
1099051939.400000 6547 197.472125 3712.361845
1158269096.400000 130611 305.707038 3892.759178
1158269089.400000 978 291.950920 3882.529652
818807784.400000 2993 403.353826 4010.775476
1108248233.400000 515 432.900971 4099.411650
1167410642.400000 117258 -10.157976 735.991054
818807266.400000 1850924 42.091722 3574.813418
818807069.400000 14868 53.975652 4057.575800
1099064404.400000 105 2097.514286 2657.666667
1099064976.400000 898 2190.850780 2607.062361
990067571.400000 1579 1980.901203 2497.332489
1167414512.400000 71 1913.535211 3013.042254
1099063460.400000 49513 2005.784158 3023.414740
1108251585.400000 2023 1979.773109 2848.612457
1099063690.400000 140 2037.771429 2940.964286
818811191.400000 5898 1975.142252 2858.993557
818812055.400000 836 2473.194976 3096.903110
1099065046.400000 210 2260.619048 2873.971429
1099065375.400000 2175 2303.716782 2832.763678
1099064863.400000 178 2271.455056 3069.528090
818811754.400000 7964 2284.573832 2954.431316
990067699.400000 6700 2296.513731 3041.859851
1099065107.400000 267 2237.445693 2709.771536
1167414765.400000 110 1990.972727 2748.045455
818810575.400000 7032 1824.741468 3742.405859
1099062830.400000 101626 2079.115482 3831.223791
1099062192.400000 6241 1946.603108 3700.969877
1099061934.400000 67 1857.477612 3525.701493
1099064449.400000 2744 2349.287901 3768.337464
1167414377.400000 9429 1850.896383 3052.066815
1167414206.400000 181 1845.325967 3413.270718
818810903.400000 10942 1941.589837 3427.694297
818810945.400000 13343 1928.577606 3243.000150
990067520.400000 178943 2132.360959 3651.853590
1099062910.400000 139 2075.798561 3764.460432
1099063302.400000 54948 2117.776188 3659.463966
1167414405.400000 3705 1970.072065 3536.072065
1108253333.400000 85 3129.223529 3841.329412
1099066877.400000 47 2707.702128 3461.148936
818811858.400000 14794 2535.038259 3839.526497
818812127.400000 9242344 1112.527089 1547.756421
1099066208.400000 63 2687.206349 3925.841270
1108252896.400000 66 2880.303030 3825.090909
1108252658.400000 37335 2749.271515 3781.388509
1167415238.400000 833 2492.837935 3865.403361
1167415434.400000 73 2525.849315 3569.753425
1099064653.400000 902 2340.148559 3574.000000
818811679.400000 141818 2392.651476 3613.177763
1099065828.400000 690 2477.510145 3252.937681
1167414760.400000 555 2126.742342 3385.353153
990067569.400000 5305 2162.625259 3340.897267
588514790.400000 21617 2172.453717 3201.713513
818811431.400000 13596 2160.120256 3118.641071
1099063382.400000 900 2024.173333 3168.553333
1158270412.400000 2652 2232.383107 3236.278658
1099060830.400000 5580 1790.906452 4047.191756
1167414388.400000 1731 2066.892548 4010.789717
990067553.400000 8473449 1054.467776 1865.028455
1099062853.400000 672 2105.462798 3943.022321
1158270939.400000 430941 282.851827 353.962635
818812984.400000 947 2889.801478 3687.877508
1099069193.400000 57 3263.771930 4141.912281
1108253029.400000 277 3018.682310 4121.299639
1099066561.400000 392380 176.274810 259.170503
1099064882.400000 297 2506.717172 4128.757576
1099057667.400000 366 433.204918 291.696721
1167412156.400000 38 53.078947 144.078947
1099055209.400000 468 3.083333 280.598291
1099055275.400000 3499 -56.176622 -43.006573
1099056019.400000 1783 14.684801 -2.874930
426055317.400000 3742064 132.812977 -2.504157
1167412628.400000 45721 265.810809 45.488747
1108248480.400000 141 60.879433 1623.687943
1099053071.400000 55 -34.509091 1756.072727
588514773.400000 84898 1874.764447 2164.486819
1099062637.400000 290 1629.093103 1929.275862
1167414308.400000 1666 1625.133854 2177.974790
1099063218.400000 800 1763.957500 2099.060000
1167414109.400000 260 1423.115385 1729.519231
1167413923.400000 104 1391.586538 2004.134615
1099060251.400000 132 1231.606061 1907.333333
1099061013.400000 614 1366.794788 1981.708469
1099061742.400000 79 1498.227848 2014.784810
1099062384.400000 1309 1584.071811 1911.137510
1099058867.400000 128 722.531250 623.507812
818809691.400000 17530 657.638962 577.807245
1099059282.400000 60 845.283333 869.850000
1167413212.400000 218 752.596330 796.866972
1099057662.400000 3530 589.474504 1001.770255
1108250803.400000 780 1203.124359 1265.012821
1099059601.400000 806 942.913151 1081.306452
1108250319.400000 424 924.905660 1147.056604
