#The following SEDs are for the blue horizontal branch stars in the catalog
#These are Kurucz models
#sedfilename,number
bergeron_He_12000_75.dat_13000,5
bergeron_He_12000_70.dat_12200,14
bergeron_He_13000_70.dat_13200,6
bergeron_7000_80.dat_7400,326
bergeron_8500_80.dat_8600,277
bergeron_He_12000_70.dat_12600,22
bergeron_He_10000_90.dat_10400,15
bergeron_8000_85.dat_8100,3
bergeron_8500_85.dat_8900,2
bergeron_He_13000_70.dat_13400,7
bergeron_6000_80.dat_6200,175
bergeron_He_10000_80.dat_10000,3
bergeron_He_11000_70.dat_12000,22
bergeron_He_11000_70.dat_11600,18
bergeron_He_13000_70.dat_13800,2
bergeron_9500_85.dat_9800,20
bergeron_9500_85.dat_9700,21
bergeron_He_13000_80.dat_13200,2
bergeron_He_11000_70.dat_11400,18
bergeron_He_11000_90.dat_11400,4
bergeron_He_11000_75.dat_11800,3
bergeron_He_11000_90.dat_11200,6
bergeron_He_13000_75.dat_13800,7
bergeron_He_12000_75.dat_12800,2
bergeron_He_11000_70.dat_11000,23
bergeron_He_12000_80.dat_12800,1
bergeron_He_10000_70.dat_10400,19
bergeron_He_11000_75.dat_11600,2
bergeron_He_13000_70.dat_13600,5
bergeron_He_15000_75.dat_15400,6
bergeron_He_13000_75.dat_13200,4
bergeron_He_17000_75.dat_18000,1
bergeron_He_18000_75.dat_18400,2
bergeron_He_14000_70.dat_14000,8
bergeron_He_18000_75.dat_19600,1
bergeron_He_14000_70.dat_14800,5
bergeron_He_18000_80.dat_19200,1
bergeron_He_14000_75.dat_14600,3
bergeron_He_17000_80.dat_17800,1
bergeron_He_12000_70.dat_12800,9
bergeron_He_18000_80.dat_19600,1
bergeron_He_3500_75.dat_3650,1
bergeron_He_14000_75.dat_14800,7
bergeron_He_15000_75.dat_16200,9
bergeron_He_13000_80.dat_13000,1
bergeron_He_14000_75.dat_14200,4
bergeron_He_11000_70.dat_11200,23
bergeron_He_3750_70.dat_3800,9
bergeron_6500_75.dat_6900,598
bergeron_He_14000_70.dat_14200,2
bergeron_He_17000_75.dat_17200,4
bergeron_He_15000_75.dat_16600,8
bergeron_He_14000_70.dat_15000,3
bergeron_He_22000_75.dat_23600,1
bergeron_He_15000_75.dat_17000,1
bergeron_He_24000_80.dat_24000,1
bergeron_He_15000_75.dat_15800,10
bergeron_He_3750_70.dat_3900,14
bergeron_He_15000_70.dat_15400,5
bergeron_He_14000_75.dat_14400,5
bergeron_He_3500_75.dat_3700,1
bergeron_He_10000_70.dat_10800,36
bergeron_He_11000_75.dat_11200,1
bergeron_He_18000_80.dat_18400,1
bergeron_He_12000_70.dat_13000,9
bergeron_He_12000_90.dat_12000,2
bergeron_He_26000_80.dat_26400,1
bergeron_He_10000_90.dat_10200,22
bergeron_He_4000_70.dat_4050,42
bergeron_He_12000_70.dat_12400,13
bergeron_He_15000_80.dat_17000,1
bergeron_He_3500_70.dat_3750,3
bergeron_He_4000_70.dat_4100,71
bergeron_He_3750_70.dat_3850,8
bergeron_He_3750_70.dat_3950,16
bergeron_He_3750_70.dat_4000,35
bergeron_He_4000_70.dat_4150,71
bergeron_He_3750_75.dat_3850,13
bergeron_He_3750_75.dat_4000,42
bergeron_He_14000_70.dat_14400,4
bergeron_He_11000_70.dat_11800,17
bergeron_He_15000_80.dat_15800,1
bergeron_He_20000_80.dat_20800,1
bergeron_He_22000_80.dat_22400,1
bergeron_He_11000_90.dat_11800,3
bergeron_7500_80.dat_7900,327
bergeron_He_12000_75.dat_12400,1
bergeron_He_3750_75.dat_3950,32
bergeron_He_12000_80.dat_12600,1
bergeron_He_17000_75.dat_17600,1
bergeron_He_18000_80.dat_18000,2
bergeron_He_4000_75.dat_4200,111
bergeron_He_4250_70.dat_4350,81
bergeron_He_4250_70.dat_4450,90
bergeron_7500_85.dat_7500,4
bergeron_He_4000_80.dat_4200,7
bergeron_He_4000_75.dat_4150,116
bergeron_He_3500_75.dat_3750,7
bergeron_7500_85.dat_7800,7
bergeron_He_4250_80.dat_4250,9
bergeron_He_4000_75.dat_4250,97
bergeron_He_4250_70.dat_4400,101
bergeron_He_4250_75.dat_4300,119
bergeron_He_3750_75.dat_3800,15
bergeron_He_4250_85.dat_4300,4
bergeron_He_4250_80.dat_4450,49
bergeron_He_4000_75.dat_4050,66
bergeron_He_3500_70.dat_3650,1
bergeron_He_4250_70.dat_4300,70
bergeron_He_3750_75.dat_3900,31
bergeron_He_4000_70.dat_4200,80
bergeron_He_4250_75.dat_4350,79
bergeron_He_4250_85.dat_4400,2
bergeron_He_4250_80.dat_4400,51
bergeron_He_4500_70.dat_4650,70
bergeron_9500_75.dat_9700,36
bergeron_He_13000_75.dat_13600,6
bergeron_He_18000_75.dat_19200,1
bergeron_He_4000_75.dat_4100,89
bergeron_He_4500_75.dat_4600,65
bergeron_He_4500_75.dat_4550,58
bergeron_He_4250_80.dat_4300,29
bergeron_He_4500_75.dat_4750,53
bergeron_He_4500_70.dat_4600,63
bergeron_He_4500_85.dat_4550,4
bergeron_He_4250_80.dat_4350,40
bergeron_He_4500_85.dat_4600,1
bergeron_He_4500_70.dat_4750,29
bergeron_He_4500_75.dat_4650,62
bergeron_9500_80.dat_9700,284
bergeron_He_4250_70.dat_4250,66
bergeron_He_4250_75.dat_4450,68
bergeron_He_4500_75.dat_4500,45
bergeron_He_4250_85.dat_4450,5
bergeron_He_4500_70.dat_4550,65
bergeron_He_4500_80.dat_4500,37
bergeron_He_10000_75.dat_10200,10
bergeron_He_4500_75.dat_4700,65
bergeron_He_4750_85.dat_4950,1
bergeron_He_12000_75.dat_12200,3
bergeron_He_18000_75.dat_18800,2
bergeron_He_4750_80.dat_4900,26
bergeron_He_4500_70.dat_4700,41
bergeron_He_4750_85.dat_4800,1
bergeron_He_4500_70.dat_4500,67
bergeron_He_4750_70.dat_4850,32
bergeron_He_4750_75.dat_4900,51
bergeron_He_4750_75.dat_4850,58
bergeron_He_5000_70.dat_5000,37
bergeron_He_4500_80.dat_4600,31
bergeron_He_5000_75.dat_5200,53
bergeron_He_5000_70.dat_5150,31
bergeron_He_4750_75.dat_5000,45
bergeron_He_5000_75.dat_5100,37
bergeron_He_5000_70.dat_5200,27
bergeron_He_5000_75.dat_5150,45
bergeron_He_4500_80.dat_4650,41
bergeron_He_4500_85.dat_4500,5
bergeron_He_5000_85.dat_5050,1
bergeron_He_5000_75.dat_5050,54
bergeron_He_4250_75.dat_4400,70
bergeron_He_5250_70.dat_5250,22
bergeron_He_5250_70.dat_5450,26
bergeron_He_4750_70.dat_4900,35
bergeron_He_5250_70.dat_5350,17
bergeron_He_5000_70.dat_5050,35
bergeron_He_5000_80.dat_5100,29
bergeron_He_5250_75.dat_5300,48
bergeron_He_5000_80.dat_5000,21
bergeron_He_5250_75.dat_5350,44
bergeron_He_4750_70.dat_4950,48
bergeron_He_4750_75.dat_4800,52
bergeron_He_5250_75.dat_5450,41
bergeron_He_10000_90.dat_10800,13
bergeron_He_5250_80.dat_5350,7
bergeron_He_14000_70.dat_14600,3
bergeron_He_5000_70.dat_5100,41
bergeron_He_4500_80.dat_4550,51
bergeron_He_14000_75.dat_14000,4
bergeron_He_4750_75.dat_4950,50
bergeron_He_5250_80.dat_5250,16
bergeron_He_14000_75.dat_15000,8
bergeron_He_5500_70.dat_5900,44
bergeron_He_3500_70.dat_3700,1
bergeron_He_4750_80.dat_4750,31
bergeron_He_5250_70.dat_5400,18
bergeron_He_5250_70.dat_5500,20
bergeron_He_5000_85.dat_5000,1
bergeron_He_5000_80.dat_5150,21
bergeron_He_5250_75.dat_5400,49
bergeron_He_5500_75.dat_5700,36
bergeron_He_5500_70.dat_5700,37
bergeron_He_4500_80.dat_4700,29
bergeron_He_4750_70.dat_4800,37
bergeron_He_5500_75.dat_5600,37
bergeron_He_4750_85.dat_4900,1
bergeron_He_5500_80.dat_5500,18
bergeron_He_5500_75.dat_5900,47
bergeron_He_4500_85.dat_4650,1
bergeron_He_5250_80.dat_5300,9
bergeron_He_4750_80.dat_4850,26
bergeron_He_5500_80.dat_5700,20
bergeron_He_6000_70.dat_6300,38
bergeron_He_5250_80.dat_5450,21
bergeron_He_5500_80.dat_5900,21
bergeron_He_5500_80.dat_5800,25
bergeron_He_6000_70.dat_6500,36
bergeron_He_5000_80.dat_5200,21
bergeron_He_4750_80.dat_4800,30
bergeron_He_5000_75.dat_5250,47
bergeron_He_4750_80.dat_4950,21
bergeron_He_6000_80.dat_6500,7
bergeron_He_5250_70.dat_5300,19
bergeron_He_6000_80.dat_6200,10
bergeron_He_5000_80.dat_5050,26
bergeron_He_6000_75.dat_6500,27
bergeron_He_6000_85.dat_6100,1
bergeron_He_6500_70.dat_6600,39
bergeron_He_5500_75.dat_6000,31
bergeron_He_6500_75.dat_6800,25
bergeron_He_6500_75.dat_6600,22
bergeron_He_7000_70.dat_7500,16
bergeron_He_5500_80.dat_5600,30
bergeron_He_6500_80.dat_6700,10
bergeron_He_6500_75.dat_6900,25
bergeron_He_6500_80.dat_6900,2
bergeron_He_5250_75.dat_5500,49
bergeron_He_6000_75.dat_6300,42
bergeron_He_6500_85.dat_6900,1
bergeron_He_7000_75.dat_7000,24
bergeron_He_6000_75.dat_6400,42
bergeron_He_7000_80.dat_7400,1
bergeron_He_7000_75.dat_7100,21
bergeron_He_6000_80.dat_6100,16
bergeron_He_6000_70.dat_6100,44
bergeron_He_7000_70.dat_7300,16
bergeron_He_6000_75.dat_6200,30
bergeron_He_7500_70.dat_7700,24
bergeron_He_7000_70.dat_7100,35
bergeron_He_6500_80.dat_6600,6
bergeron_He_7500_70.dat_7800,21
bergeron_He_6000_70.dat_6000,47
bergeron_He_7500_80.dat_7900,1
bergeron_He_7500_75.dat_7700,16
bergeron_He_7500_85.dat_7700,1
bergeron_He_5250_80.dat_5400,22
bergeron_He_7500_75.dat_7900,18
bergeron_He_7500_75.dat_8000,15
bergeron_He_7000_75.dat_7300,21
bergeron_He_6500_75.dat_6700,28
bergeron_He_8000_70.dat_8100,25
bergeron_He_7000_75.dat_7200,12
bergeron_He_7500_85.dat_8000,1
bergeron_He_7500_80.dat_7600,1
bergeron_He_7000_80.dat_7200,9
bergeron_He_7500_80.dat_7700,1
bergeron_He_7000_80.dat_7100,4
bergeron_He_6500_70.dat_6800,33
bergeron_He_5500_70.dat_5800,49
bergeron_He_5500_75.dat_5800,49
bergeron_He_7500_70.dat_7600,25
bergeron_He_7500_75.dat_7800,28
bergeron_He_6000_70.dat_6200,45
bergeron_He_6000_80.dat_6400,1
bergeron_He_8000_70.dat_8200,24
bergeron_He_6500_80.dat_6800,6
bergeron_He_7000_80.dat_7300,6
bergeron_He_8000_70.dat_8500,17
bergeron_He_7500_75.dat_7500,19
bergeron_He_7000_70.dat_7200,37
bergeron_He_5500_70.dat_5600,27
bergeron_He_6500_80.dat_7000,5
bergeron_He_5500_80.dat_6000,13
bergeron_He_8000_70.dat_8400,28
bergeron_He_6000_80.dat_6300,6
bergeron_He_8000_70.dat_8000,31
bergeron_He_7000_70.dat_7400,28
bergeron_He_7500_70.dat_7900,27
bergeron_He_7500_80.dat_7500,2
bergeron_He_6000_70.dat_6400,43
bergeron_He_7000_75.dat_7400,26
bergeron_He_8000_85.dat_8400,1
bergeron_He_8000_80.dat_8100,2
bergeron_He_8500_70.dat_8600,21
bergeron_He_8000_80.dat_8400,14
bergeron_He_8000_80.dat_8200,6
bergeron_He_8000_80.dat_8300,5
bergeron_He_8000_75.dat_8400,21
bergeron_He_8000_75.dat_8300,18
bergeron_He_6000_75.dat_6100,31
bergeron_He_8500_70.dat_8900,11
bergeron_He_8500_70.dat_8700,24
bergeron_He_6500_70.dat_6700,37
bergeron_He_8500_75.dat_8600,10
bergeron_He_8500_75.dat_9000,5
bergeron_He_8500_75.dat_8800,14
bergeron_He_8500_80.dat_8700,12
bergeron_He_6500_70.dat_6900,32
bergeron_He_8500_80.dat_9000,15
bergeron_He_9000_70.dat_9100,19
bergeron_He_8500_85.dat_8900,3
bergeron_He_9000_70.dat_9400,11
bergeron_He_9000_70.dat_9300,14
bergeron_He_9000_75.dat_9400,5
bergeron_He_8500_80.dat_8800,13
bergeron_He_9000_75.dat_9300,5
bergeron_He_8500_80.dat_8500,6
bergeron_He_9000_75.dat_9100,13
bergeron_He_8500_75.dat_8900,4
bergeron_He_9000_80.dat_9200,10
bergeron_He_9000_80.dat_9500,2
bergeron_He_6500_70.dat_7000,38
bergeron_He_8500_80.dat_8600,13
bergeron_He_9000_75.dat_9500,1
bergeron_He_9000_80.dat_9400,8
bergeron_He_8500_85.dat_9000,6
bergeron_He_8500_80.dat_8900,19
bergeron_He_9000_75.dat_9200,7
bergeron_He_9000_70.dat_9200,21
bergeron_He_9000_85.dat_9400,3
bergeron_He_8500_75.dat_8500,19
bergeron_He_9000_80.dat_9100,9
bergeron_He_9000_85.dat_9100,12
bergeron_He_9000_80.dat_9300,7
bergeron_He_8500_75.dat_8700,12
bergeron_He_8500_85.dat_8800,2
bergeron_He_7500_75.dat_7600,20
bergeron_He_9500_70.dat_9500,13
bergeron_He_9500_70.dat_10000,9
bergeron_He_9000_90.dat_9300,3
bergeron_He_9500_80.dat_9700,7
bergeron_He_9500_85.dat_10000,1
bergeron_He_9500_85.dat_9900,3
bergeron_He_9500_70.dat_9700,14
bergeron_He_9500_85.dat_9600,8
bergeron_He_9500_90.dat_9700,5
bergeron_He_8000_70.dat_8300,15
bergeron_He_9500_75.dat_9800,4
bergeron_He_9500_90.dat_9900,8
bergeron_He_9500_85.dat_9800,8
bergeron_He_9500_90.dat_9500,6
bergeron_He_9500_70.dat_9800,8
bergeron_He_9500_90.dat_9800,8
bergeron_He_9500_70.dat_9900,13
bergeron_He_9500_80.dat_9800,2
bergeron_He_9000_90.dat_9400,4
bergeron_He_9500_80.dat_9900,1
bergeron_He_9500_70.dat_9600,10
bergeron_He_9500_75.dat_9900,9
bergeron_He_9500_75.dat_10000,6
bergeron_He_9500_85.dat_9700,11
bergeron_He_9500_75.dat_9700,2
bergeron_He_9500_90.dat_9600,2
bergeron_He_9500_90.dat_10000,14
bergeron_He_9500_75.dat_9600,4
bergeron_He_8000_75.dat_8100,21
bergeron_He_8000_75.dat_8200,18
bergeron_He_8500_70.dat_8800,14
bergeron_He_8500_70.dat_9000,21
bergeron_He_9000_85.dat_9200,6
bergeron_He_9000_85.dat_9300,14
bergeron_He_9000_85.dat_9500,6
#The following SEDs are for the RRLy stars in the catalog.
#These are Kurucz models
#sedfilename,number
km05_6000.fits_g30_6080,1
km05_6000.fits_g30_6120,1
km15_5750.fits_g20_5970,2
km20_5750.fits_g15_5950,1
km20_5750.fits_g15_5970,1
km20_5750.fits_g15_5990,1
km20_6000.fits_g15_6000,2
km20_6250.fits_g20_6410,2
km20_6750.fits_g25_6910,1
km20_6750.fits_g25_6950,2
km25_6000.fits_g15_6020,2
km25_6000.fits_g15_6040,2
km25_6000.fits_g15_6060,5
km25_6000.fits_g15_6080,3
km25_6250.fits_g20_6430,6
km25_6250.fits_g20_6450,7
km25_6250.fits_g20_6470,4
km25_6250.fits_g20_6490,6
km25_6750.fits_g25_6970,2
km25_6750.fits_g25_6990,1
km25_7000.fits_g25_7000,4
km25_7000.fits_g25_7020,6
km30_6500.fits_g20_6620,9
km30_6500.fits_g20_6640,1
km30_7000.fits_g25_7060,1
km30_7000.fits_g25_7100,1
km30_7000.fits_g25_7120,3
km35_6000.fits_g15_6160,3
km35_6000.fits_g15_6180,10
km35_6000.fits_g15_6200,2
km35_6000.fits_g15_6220,1
km35_6000.fits_g15_6240,5
km35_6250.fits_g15_6250,6
km35_6500.fits_g20_6620,9
km35_6500.fits_g20_6640,3
km35_6500.fits_g20_6660,1
km40_6250.fits_g15_6290,3
km40_6250.fits_g15_6310,3
km40_6500.fits_g20_6660,6
km40_6500.fits_g20_6680,1
km40_7000.fits_g25_7160,1
km40_7000.fits_g25_7200,1
km40_7000.fits_g25_7220,1
km45_6250.fits_g15_6310,4
km45_6250.fits_g15_6330,1
km45_6500.fits_g20_6680,3
km50_6250.fits_g15_6330,4
km50_6500.fits_g20_6680,2
km50_6500.fits_g20_6700,7
km50_6500.fits_g20_6720,10
km50_6500.fits_g20_6740,6
km50_6750.fits_g20_6750,1
km50_7000.fits_g25_7200,3
km50_7000.fits_g25_7220,1
km50_7250.fits_g25_7270,1
km50_7250.fits_g25_7330,2
km50_7250.fits_g25_7350,1
km50_7250.fits_g25_7370,1
km50_7250.fits_g25_7390,1
km50_7250.fits_g25_7490,1
#The following SEDs are for the F,G,K,M,L, and T stars
#Those marked burrows are T and Y dwarf model spectra
#Those that begin with a k are Kurucz models
#M dwarf spectra (beginning in m) are empiricle template SEDs from Buchanski
#l dwarf empirical templates from Sandy Leggett (beginning in L and l)
#sedfilename,number
km03_5500.fits_g10_5560,4
burrows+2006c91.21_T1500_g5.4_f100_solar,4
burrows+2006c91.21_T1600_g4.5_cf_3X,11
km03_5500.fits_g10_5620,1
burrows+2006c91.21_T1600_g5.0_cf_0.3X,3
km05_4500.fits_g20_4700,1
burrows+2006c91.21_T1900_g5.5_cf_3X,8
burrows+2006c91.21_T1500_g5.5_cf1.0newer,1
km05_4750.fits_g00_4950,39
burrows+2006T2000_g5.5_f100_0.3X,9
km05_4750.fits_g00_4970,33
km03_5750.fits_g15_5870,2
burrows+2006c91.21_T1350_g4.7_f100_solar,58
km05_4500.fits_g25_4620,1
burrows+2006c91.21_T2000_g5.5_cf_3X,16
km05_4500.fits_g20_4660,1
km05_4750.fits_g00_4830,1
km03_5250.fits_g05_5330,4
km05_4500.fits_g25_4640,1
km03_5250.fits_g05_5310,3
burrows+2006c91.21_T1600_g4.5_cf1.0newer,26
km05_5000.fits_g00_5100,31
burrows+2006c91.21_T1700_g5.5_cf1.0newer,3
burrows+2006c91.21_T2000_g5.0_cf1.0new,1
km05_4750.fits_g05_4870,23
km03_5500.fits_g10_5520,3
km03_5250.fits_g05_5350,5
burrows+2006c91.21_T1800_g5.0_cf_3X,14
burrows+2006c91.21_T1700_g5.0_cf_3X,20
burrows+2006c91.21_T1600_g5.0_cf_3X,13
burrows+2006c91.21_T1450_g5.2_f100_solar,21
burrows+2006c91.21_T1900_g5.0_cf1.0new,26
burrows+2006c91.21_T1700_g4.5_cf1.0newer,20
burrows+2006c91.21_T1800_g5.0_cf1.0new,47
burrows+2006c91.21_T1800_g5.5_cf_3X,13
burrows+2006c91.21_T1900_g4.5_cf1.0newer,6
km05_5000.fits_g00_5200,22
burrows+2006T1400_g5.0_f100_solar,12
km03_5250.fits_g05_5370,3
km10_4500.fits_g00_4600,36
km05_4750.fits_g00_4890,12
km03_5500.fits_g10_5600,4
km05_4750.fits_g00_4930,20
km03_5250.fits_g05_5390,1
km05_4750.fits_g05_4930,50
burrows+2006T1900_g5.0_f100_0.3X,188
km10_4500.fits_g50_4620,2
burrows+2006c91.21_T1600_g5.5_cf1.0newer,1
km05_4750.fits_g00_4850,4
km10_4500.fits_g50_4680,15
km10_4750.fits_g00_4930,1231
burrows+2006c91.21_T2100_g5.0_cf1.0new,20
km05_5000.fits_g00_5180,25
burrows+2006c91.21_T1900_g5.5_cf1.0newer,5
km05_5000.fits_g05_5200,25
km05_4750.fits_g05_4790,3
km05_4750.fits_g05_4910,44
km03_5750.fits_g15_5890,4
km05_5250.fits_g05_5290,17
km03_5250.fits_g05_5290,5
burrows+2006c91.21_T1700_g5.5_cf_3X,9
km05_5250.fits_g05_5450,45
km05_5500.fits_g20_5680,61
km03_5750.fits_g20_5930,7
km05_4750.fits_g05_4890,26
km10_4750.fits_g10_4890,611
km03_5500.fits_g10_5540,4
km05_4750.fits_g05_4830,16
km10_4750.fits_g05_4850,893
km05_5500.fits_g05_5520,2
km05_4750.fits_g00_4870,13
km10_5000.fits_g00_5060,903
km03_5750.fits_g20_5970,4
km10_4500.fits_g00_4580,17
burrows+2006c91.21_T2200_g5.0_cf1.0new,182
km03_5750.fits_g20_5990,1
burrows+2006c91.21_T2000_g5.5_cf1.0newer,14
km10_4500.fits_g00_4680,378
km05_4750.fits_g05_4810,6
km05_5500.fits_g20_5640,3
km05_5000.fits_g00_5240,20
km10_4500.fits_g50_4720,26
km05_5250.fits_g05_5310,6
km10_5000.fits_g00_5160,696
km05_5000.fits_g05_5160,39
km05_5000.fits_g00_5160,28
km03_5250.fits_g05_5410,1
km05_4500.fits_g25_4660,1
km05_4750.fits_g00_4910,12
km05_5000.fits_g00_5040,37
km05_5000.fits_g05_5080,86
km10_4750.fits_g00_4830,1083
km05_5000.fits_g00_5220,29
km05_5000.fits_g05_5220,20
km10_4750.fits_g00_4890,1128
km03_5500.fits_g10_5580,2
km05_4750.fits_g05_4950,61
km05_5250.fits_g00_5310,2
km10_4750.fits_g10_4970,1141
km05_4750.fits_g05_4770,1
km10_4750.fits_g05_4890,811
km05_5000.fits_g00_5140,38
km10_4500.fits_g00_4640,139
km10_4750.fits_g15_4850,63
km05_5750.fits_g15_5930,1
km10_4500.fits_g00_4660,241
km05_4750.fits_g05_4850,19
km10_5000.fits_g05_5020,346
km10_4500.fits_g05_4700,780
km05_5250.fits_g00_5290,7
km10_5000.fits_g05_5220,525
km10_5000.fits_g05_5200,525
km05_4750.fits_g00_4990,42
km10_4750.fits_g15_4910,248
km10_4250.fits_g50_4430,5
km05_5000.fits_g05_5180,49
km05_5250.fits_g00_5270,6
km05_5000.fits_g00_5020,46
km05_5250.fits_g00_5250,19
km10_4750.fits_g05_4830,938
km05_5000.fits_g00_5120,37
km05_5000.fits_g05_5000,79
km10_4750.fits_g10_4950,1102
km10_4500.fits_g05_4600,309
km05_5250.fits_g10_5310,37
burrows+2006T1600_g5.5_f100_0.3X,10
km05_5500.fits_g20_5700,3
km05_5250.fits_g10_5270,6
km10_4750.fits_g15_4950,433
km05_5250.fits_g10_5330,22
km10_4500.fits_g05_4500,16
km10_4750.fits_g50_4750,45
km05_4750.fits_g05_4990,60
km10_4500.fits_g05_4540,119
km05_5500.fits_g05_5500,15
km10_4750.fits_g50_4770,54
km03_5750.fits_g20_5950,9
km10_4500.fits_g50_4740,34
km05_5250.fits_g05_5250,8
km10_5000.fits_g10_5040,693
km10_4250.fits_g50_4490,2
km10_5000.fits_g10_5240,861
km05_5250.fits_g05_5470,19
km10_4500.fits_g05_4640,437
km10_4750.fits_g15_4870,116
km10_4750.fits_g25_4930,27
km05_5750.fits_g10_5750,1
km10_5000.fits_g00_5000,742
km10_5000.fits_g15_5120,1330
km10_5000.fits_g00_5200,553
km05_5500.fits_g10_5740,6
km05_5250.fits_g10_5350,1
km10_5000.fits_g10_5060,723
km10_5000.fits_g00_5020,917
km10_5000.fits_g05_5140,434
km10_5000.fits_g15_5200,1244
km10_5000.fits_g20_5060,203
km10_5000.fits_g05_5240,402
km05_5000.fits_g05_5140,53
km10_5000.fits_g25_5020,37
km10_4750.fits_g15_4890,163
km10_5000.fits_g25_5040,40
km10_4250.fits_g50_4370,2
km05_5250.fits_g05_5490,12
km10_4250.fits_g50_4410,1
km10_4750.fits_g25_4890,17
km05_4750.fits_g05_4970,90
km10_4750.fits_g00_4910,1187
km10_5000.fits_g10_5160,884
km10_4750.fits_g25_4990,27
km10_5000.fits_g15_5060,1043
km05_5000.fits_g00_5000,45
km10_5000.fits_g20_5200,732
km10_5000.fits_g25_5140,85
km10_4500.fits_g00_4740,633
km10_4750.fits_g30_4990,1
km10_4500.fits_g05_4580,267
km10_5000.fits_g30_5020,10
km10_4750.fits_g00_4750,652
km10_4750.fits_g10_4790,108
km10_5000.fits_g15_5140,1261
km05_5000.fits_g05_5020,88
km05_5750.fits_g15_5950,6
km10_4750.fits_g10_4870,591
km05_5000.fits_g05_5060,83
km10_4750.fits_g00_4810,917
km10_5000.fits_g30_5120,22
km10_5000.fits_g10_5220,1121
km05_5250.fits_g10_5290,24
km10_4750.fits_g05_4790,991
km10_5000.fits_g30_5000,1
km10_4750.fits_g15_4930,323
km10_4500.fits_g05_4560,195
km10_5000.fits_g30_5060,14
km10_4750.fits_g50_4810,44
km05_5000.fits_g00_5060,46
km10_5000.fits_g30_5200,24
km10_5000.fits_g35_5100,23
km05_5000.fits_g05_5240,14
km10_5000.fits_g45_5000,12
km10_5000.fits_g35_5120,19
km10_5000.fits_g35_5080,21
km05_5500.fits_g10_5720,7
km10_5000.fits_g45_5200,14
km10_4500.fits_g05_4660,605
km10_5000.fits_g35_5140,24
km10_5000.fits_g35_5240,23
km10_5000.fits_g30_5140,31
km10_5250.fits_g05_5410,255
km10_4750.fits_g10_4930,1005
km10_5250.fits_g15_5350,1629
km10_4750.fits_g20_4950,16
km10_5250.fits_g15_5430,1128
km10_5000.fits_g40_5060,1
km10_4750.fits_g05_4750,724
km10_5000.fits_g40_5140,13
km10_5000.fits_g45_5040,37
km05_5250.fits_g05_5270,11
km10_4750.fits_g05_4990,435
km10_5000.fits_g45_5100,26
km10_5000.fits_g30_5180,38
km10_5000.fits_g00_5140,738
km10_5000.fits_g40_5100,2
km05_5500.fits_g20_5660,73
km10_5000.fits_g50_5160,91
km10_5000.fits_g35_5220,20
km10_5000.fits_g20_5220,999
km10_5250.fits_g00_5250,295
km05_5250.fits_g05_5410,6
km10_4500.fits_g00_4560,4
km10_4500.fits_g00_4620,77
km10_4750.fits_g25_4850,5
km10_4750.fits_g25_4910,13
km10_4750.fits_g00_4870,1167
km10_4500.fits_g05_4520,52
km10_5000.fits_g25_5000,30
km05_5750.fits_g15_5810,2
km10_4750.fits_g25_4870,7
km10_5250.fits_g10_5410,585
km10_5000.fits_g00_5220,466
km10_5250.fits_g30_5390,171
km10_5250.fits_g30_5450,250
km10_5000.fits_g50_5020,38
km10_4750.fits_g30_4850,2
km10_4500.fits_g50_4600,2
km10_4750.fits_g05_4770,935
km10_5000.fits_g50_5100,23
km10_4750.fits_g00_4850,1078
km05_5250.fits_g05_5430,35
km10_5250.fits_g15_5310,1355
km10_5000.fits_g05_5180,544
km05_5000.fits_g00_5080,40
km10_5250.fits_g25_5430,1069
km10_5000.fits_g15_5020,811
km10_5000.fits_g35_5200,18
km10_5250.fits_g05_5250,387
km10_5000.fits_g10_5080,701
km10_5250.fits_g30_5430,216
km10_4250.fits_g50_4350,2
km10_5250.fits_g35_5450,137
km05_5500.fits_g10_5660,2
km10_4750.fits_g00_4970,1215
km10_5000.fits_g10_5200,1090
km10_5250.fits_g05_5430,222
km10_4750.fits_g10_4770,1
km10_5250.fits_g35_5310,56
km10_5250.fits_g30_5290,122
km10_5250.fits_g40_5350,46
km10_4750.fits_g10_4830,384
km10_5000.fits_g20_5020,125
km10_5250.fits_g40_5370,47
km10_5000.fits_g25_5060,45
km10_5250.fits_g15_5490,730
km10_5250.fits_g50_5310,20
km10_5250.fits_g00_5350,38
km10_5000.fits_g25_5180,140
km10_5000.fits_g40_5240,4
km10_5000.fits_g25_5200,159
km10_4750.fits_g15_4830,21
km10_5250.fits_g40_5410,34
km10_5000.fits_g30_5080,28
km10_5500.fits_g10_5700,219
km10_5000.fits_g25_5220,187
km10_4750.fits_g50_4850,35
km10_5500.fits_g10_5720,137
km10_5250.fits_g30_5490,289
km10_5000.fits_g00_5040,939
km10_5000.fits_g30_5100,21
km10_5000.fits_g50_5120,42
km10_5250.fits_g10_5370,653
km10_5250.fits_g00_5410,2
km10_5000.fits_g40_5200,18
km05_5500.fits_g10_5700,6
km10_5250.fits_g10_5390,587
km10_5250.fits_g05_5330,344
km10_4500.fits_g05_4680,702
km10_5250.fits_g30_5330,167
km10_5250.fits_g10_5470,530
km10_5250.fits_g20_5330,1276
km10_5000.fits_g00_5080,866
km10_5250.fits_g05_5370,296
km10_5500.fits_g20_5560,778
km10_4250.fits_g05_4490,19
km10_5000.fits_g45_5080,45
km10_4500.fits_g00_4720,726
